"","Cycle","Chamber","MO2 no Background Correction","NA","NA","NA","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1"
"1",12,7,0.00732345141937164,7,7,7,1,0.065461473,"High NTU",90,"day",1,NA,""
"2",13,7,-0.00297668332859103,7,7,7,2,0.052583898,"High NTU",90,"day",1,NA,""
"3",14,7,-0.00967031329957489,7,7,7,3,0.046192623,"High NTU",90,"day",1,NA,""
"4",15,7,-0.0130924993035465,7,7,7,4,0.045129319,"High NTU",90,"day",1,NA,""
"5",16,7,-0.00390002950749671,7,7,7,5,0.052765246,"High NTU",90,"day",1,NA,""
"6",18,7,-0.0042729179430969,7,7,7,7,0.051212979,"High NTU",90,"day",1,NA,""
"7",19,7,-0.00633164850040401,7,7,7,8,0.049762441,"High NTU",90,"day",1,NA,""
"8",20,7,-0.00406151601364859,7,7,7,9,0.05174145,"High NTU",90,"day",1,NA,""
"9",21,7,-0.0162670876308319,7,7,7,10,0.038697376,"High NTU",90,"day",1,NA,""
"10",22,7,-0.00168730880606456,7,7,7,11,0.051904172,"High NTU",90,"day",1,NA,""
"11",23,7,-0.0116923593206719,7,7,7,12,0.043345731,"High NTU",90,"day",1,NA,""
"12",24,7,-0.0285163471988588,7,7,7,13,0.031265085,"High NTU",90,"night",1,NA,""
"13",25,7,-0.0243294146578896,7,7,7,14,0.034192464,"High NTU",90,"night",1,NA,""
"14",26,7,-0.0272364433674279,7,7,7,15,0.032074057,"High NTU",90,"night",1,NA,""
"15",27,7,-0.0278300588788619,7,7,7,16,0.031720834,"High NTU",90,"night",1,NA,""
"16",28,7,-0.072830888588249,7,7,7,17,-0.022146114,"High NTU",90,"night",1,NA,""
"17",29,7,-0.0824406672240972,7,7,7,18,-0.034401381,"High NTU",90,"night",1,NA,""
"18",30,7,-0.0797447019930374,7,7,7,19,-0.032584142,"High NTU",90,"night",1,NA,""
"19",31,7,-0.0822335349447399,7,7,7,20,-0.035048916,"High NTU",90,"night",1,NA,""
"20",32,7,-0.0823788676387566,7,7,7,21,-0.035466954,"High NTU",90,"night",1,NA,""
"21",33,7,-0.0816629059426366,7,7,7,22,-0.035095791,"High NTU",90,"night",1,NA,""
"22",34,7,-0.0811606412747822,7,7,7,23,-0.034780471,"High NTU",90,"night",1,NA,""
"23",35,7,-0.0732157092140602,7,7,7,24,-0.014968062,"High NTU",90,"night",1,NA,""
"24",36,7,-0.00170055658078158,7,7,7,25,0.054375873,"High NTU",90,"day",2,NA,""
"25",38,7,-0.00955288560552008,7,7,7,27,0.045794267,"High NTU",90,"day",2,NA,""
"26",39,7,-0.0124238433521737,7,7,7,28,0.042497534,"High NTU",90,"day",2,NA,""
"27",40,7,-0.00974776441701893,7,7,7,29,0.046577552,"High NTU",90,"day",2,NA,""
"28",41,7,-0.0127458495793763,7,7,7,30,0.043456411,"High NTU",90,"day",2,NA,""
"29",42,7,-0.00948404200539755,7,7,7,31,0.045799735,"High NTU",90,"day",2,NA,""
"30",43,7,-0.0099711489773648,7,7,7,32,0.046379101,"High NTU",90,"day",2,NA,""
"31",44,7,-0.00269350795385158,7,7,7,33,0.052924295,"High NTU",90,"day",2,NA,""
"32",45,7,-0.014267554281359,7,7,7,34,0.042587773,"High NTU",90,"day",2,NA,""
"33",46,7,-0.01011633698375,7,7,7,35,0.045909831,"High NTU",90,"day",2,NA,""
"34",47,7,-0.0121252321117993,7,7,7,36,0.043017477,"High NTU",90,"day",2,NA,""
"35",48,7,-0.02507017044293,7,7,7,37,0.034098805,"High NTU",90,"night",2,NA,""
"36",49,7,-0.0223787674433341,7,7,7,38,0.037111423,"High NTU",90,"night",2,NA,""
"37",50,7,-0.0221758506593734,7,7,7,39,0.037134636,"High NTU",90,"night",2,NA,""
"38",51,7,-0.02240074072658,7,7,7,40,0.036769844,"High NTU",90,"night",2,NA,""
"39",52,7,-0.0238768489532712,7,7,7,41,0.035102313,"High NTU",90,"night",2,NA,""
"40",53,7,-0.0242951360693788,7,7,7,42,0.034327438,"High NTU",90,"night",2,NA,""
"41",54,7,-0.0249547158399408,7,7,7,43,0.034097229,"High NTU",90,"night",2,NA,""
"42",55,7,-0.0236359558880881,7,7,7,44,0.034834735,"High NTU",90,"night",2,NA,""
"43",56,7,-0.0248708157427394,7,7,7,45,0.034387226,"High NTU",90,"night",2,NA,""
"44",57,7,-0.0250612512345487,7,7,7,46,0.033761693,"High NTU",90,"night",2,NA,""
"45",58,7,-0.0248153817148005,7,7,7,47,0.034192961,"High NTU",90,"night",2,NA,""
"46",59,7,-0.0266872378800139,7,7,7,48,0.031301773,"High NTU",90,"night",2,NA,""
"47",60,7,-0.00675909833055712,7,7,7,49,0.049779569,"High NTU",90,"day",3,NA,""
"48",61,7,-0.0193325917693117,7,7,7,50,0.037570201,"High NTU",90,"day",3,NA,""
"49",62,7,-0.0181744513723409,7,7,7,51,0.037195196,"High NTU",90,"day",3,NA,""
"50",63,7,-0.019891523674797,7,7,7,52,0.03427171,"High NTU",90,"day",3,NA,""
"51",64,7,-0.0210800786624994,7,7,7,53,0.03402465,"High NTU",90,"day",3,NA,""
"52",65,7,-0.0314438871736045,7,7,7,54,0.023399104,"High NTU",90,"day",3,NA,""
"53",66,7,-0.016198981658283,7,7,7,55,0.041552088,"High NTU",90,"day",3,NA,""
"54",67,7,-0.00827559427782449,7,7,7,56,0.047524469,"High NTU",90,"day",3,NA,""
"55",68,7,-0.00663249459011624,7,7,7,57,0.04996114,"High NTU",90,"day",3,NA,""
"56",69,7,-0.0300292733486462,7,7,7,58,0.026224488,"High NTU",90,"day",3,NA,""
"57",70,7,-0.0292865488214225,7,7,7,59,0.026399581,"High NTU",90,"day",3,NA,""
"58",71,7,-0.0273103936981221,7,7,7,60,0.028233878,"High NTU",90,"day",3,NA,""
"59",72,7,-0.0856971978897099,7,7,7,61,-0.041470415,"High NTU",90,"night",3,NA,""
"60",73,7,-0.0854127468005089,7,7,7,62,-0.04064574,"High NTU",90,"night",3,NA,""
"61",74,7,-0.0959051406504235,7,7,7,63,-0.050732068,"High NTU",90,"night",3,NA,""
"62",75,7,-0.0890689318437055,7,7,7,64,-0.043585035,"High NTU",90,"night",3,NA,""
"63",76,7,-0.0878218003638192,7,7,7,65,-0.041095436,"High NTU",90,"night",3,NA,""
"64",77,7,-0.0901571548475538,7,7,7,66,-0.044575796,"High NTU",90,"night",3,NA,""
"65",78,7,-0.0915758434482362,7,7,7,67,-0.045636147,"High NTU",90,"night",3,NA,""
"66",79,7,-0.0917355155499096,7,7,7,68,-0.045908316,"High NTU",90,"night",3,NA,""
"67",80,7,-0.0966492769772056,7,7,7,69,-0.05276337,"High NTU",90,"night",3,NA,""
"68",81,7,-0.0955486147733085,7,7,7,70,-0.05125595,"High NTU",90,"night",3,NA,""
"69",82,7,-0.097101102006859,7,7,7,71,-0.05266064,"High NTU",90,"night",3,NA,""
"70",83,7,-0.098113937231572,7,7,7,72,-0.055109942,"High NTU",90,"night",3,NA,""
